Team,Player,Pos
CHO,Kobi Simmons,SG
CHO,Dennis Smith Jr.,PG
CHO,Xavier Sneed,SF
CHO,JT Thor,PF
CHO,P.J. Washington,PF
CHO,Mark Williams,C
CHI,Patrick Beverley,PG
CHI,Tony Bradley,C
CHI,Alex Caruso,PG
CHI,DeMar DeRozan,SF
CHI,Ayo Dosunmu,SG
CHI,Goran Dragic,PG
CHI,Andre Drummond,C
CHI,Javonte Green,SF
CHI,Malcolm Hill,SF
CHI,Carlik Jones,PG
CHI,Derrick Jones Jr.,PF
CHI,Zach LaVine,SG
CHI,Marko Simonovic,C
CHI,Terry Taylor,PF
CHI,Dalen Terry,SG
CHI,Nikola Vucevic,C
CHI,Coby White,SG
CHI,Patrick Williams,PF
CLE,Jarrett Allen,C
CLE,Mamadi Diakite,C
CLE,Darius Garland,PG
CLE,Danny Green,SG
CLE,Caris LeVert,SG
CLE,Robin Lopez,C
CLE,Kevin Love,PF
CLE,Sam Merrill,SG
CLE,Donovan Mitchell,SG
CLE,Evan Mobley,PF
CLE,Isaiah Mobley,PF
CLE,Raul Neto,PG
CLE,Isaac Okoro,SF
CLE,Cedi Osman,SF
CLE,Ricky Rubio,PG
CLE,Lamar Stevens,SF
CLE,Dean Wade,PF
CLE,Dylan Windler,SF
DAL,Davis Bertans,PF
DAL,Reggie Bullock,SF
DAL,Facundo Campazzo,PG
DAL,Spencer Dinwiddie,SG
DAL,Luka Doncic,PG
DAL,Tyler Dorsey,SF
DAL,Dorian Finney-Smith,PF
DAL,Josh Green,SG
DAL,Tim Hardaway Jr.,SF
DAL,Jaden Hardy,SG
DAL,Justin Holiday,SF
DAL,Kyrie Irving,SG
DAL,Maxi Kleber,PF
DAL,A.J. Lawson,SG
DAL,JaVale McGee,C
DAL,Markieff Morris,PF
DAL,Frank Ntilikina,SG
DAL,Theo Pinson,SG
DAL,Dwight Powell,C
DAL,Chris Silva,PF
DAL,Kemba Walker,PG
DAL,Christian Wood,C
DAL,McKinley Wright IV,PG
DEN,Christian Braun,SG
DEN,Bruce Brown,SF
DEN,Thomas Bryant,C
DEN,Kentavious Caldwell-Pope,SG
DEN,Vlatko Cancar,PF
DEN,Aaron Gordon,PF
DEN,Jeff Green,PF
DEN,Bones Hyland,PG
DEN,Reggie Jackson,PG
DEN,Nikola Jokic,C
DEN,DeAndre Jordan,C
DEN,Jamal Murray,PG
DEN,Zeke Nnaji,PF
DEN,Michael Porter Jr.,SF
DEN,Davon Reed,SG
DEN,Ish Smith,PG
DEN,Peyton Watson,SG
DEN,Jack White,SF
DET,Marvin Bagley III,C
DET,Saddiq Bey,SF
DET,Buddy Boeheim,SF
DET,Bojan Bogdanovic,PF
DET,Alec Burks,SG
DET,Cade Cunningham,PG
DET,Hamidou Diallo,SF
DET,Jalen Duren,C
DET,R.J. Hampton,SG
DET,Killian Hayes,PG
DET,Jaden Ivey,SG
DET,Cory Joseph,PG
DET,Braxton Key,SF
DET,Kevin Knox,SF
DET,Isaiah Livers,PF
DET,Rodney McGruder,SG
DET,Nerlens Noel,C
DET,Eugene Omoruyi,SF
DET,Jared Rhoden,SG
DET,Isaiah Stewart,C
DET,Stanley Umude,SG
DET,James Wiseman,C
GSW,Patrick Baldwin Jr.,SF
GSW,Stephen Curry,PG
GSW,Donte DiVincenzo,SG
GSW,Draymond Green,PF
GSW,JaMychal Green,PF
GSW,Andre Iguodala,PF
GSW,Ty Jerome,SG
GSW,Jonathan Kuminga,PF
GSW,Anthony Lamb,SF
GSW,Kevon Looney,C
GSW,Moses Moody,SG
GSW,Gary Payton II,SG
GSW,Jordan Poole,PG
GSW,Lester Quinones,SG
GSW,Ryan Rollins,PG
GSW,Klay Thompson,SF
GSW,Andrew Wiggins,SF
GSW,James Wiseman,C
HOU,Josh Christopher,SG
HOU,Darius Days,SF
HOU,Tari Eason,PF
HOU,Bruno Fernando,C
HOU,Usman Garuba,C
HOU,Eric Gordon,SG
HOU,Jalen Green,SG
HOU,Trevor Hudgins,PG
HOU,Frank Kaminsky,C
HOU,Boban Marjanovic,C
HOU,KJ Martin,SF
HOU,Garrison Mathews,SG
HOU,Daishen Nix,PG
HOU,Kevin Porter Jr.,PG
HOU,Alperen Sengun,C
HOU,Jabari Smith Jr.,PF
HOU,Jae'Sean Tate,SF
HOU,TyTy Washington Jr.,PG
IND,Goga Bitadze,C
IND,Oshae Brissett,PF
IND,Kendall Brown,SG
IND,Chris Duarte,SF
IND,Tyrese Haliburton,PG
IND,Buddy Hield,SF
IND,George Hill,SG
IND,Isaiah Jackson,C
IND,James Johnson,PF
IND,Bennedict Mathurin,SG
IND,T.J. McConnell,PG
IND,Andrew Nembhard,SG
IND,Aaron Nesmith,SF
IND,Jordan Nwora,SF
IND,Trevelin Queen,SG
IND,Jalen Smith,C
IND,Terry Taylor,PF
IND,Daniel Theis,C
IND,Myles Turner,C
IND,Gabe York,SG
LAC,Nicolas Batum,PF
LAC,Brandon Boston Jr.,SF
LAC,Moses Brown,C
LAC,Amir Coffey,SF
LAC,Robert Covington,PF
LAC,Moussa Diabate,C
LAC,Paul George,SF
LAC,Eric Gordon,SG
LAC,Bones Hyland,PG
LAC,Reggie Jackson,PG
LAC,Luke Kennard,SG
LAC,Kawhi Leonard,SF
LAC,Terance Mann,SG
LAC,Xavier Moon,SG
LAC,Marcus Morris,PF
LAC,Mason Plumlee,C
LAC,Norman Powell,SG
LAC,Jason Preston,PG
LAC,John Wall,PG
LAC,Russell Westbrook,PG
LAC,Ivica Zubac,C
LAL,Mo Bamba,C
LAL,Malik Beasley,SG
LAL,Patrick Beverley,SG
LAL,Sterling Brown,SF
LAL,Troy Brown Jr.,SF
LAL,Thomas Bryant,C
LAL,Max Christie,SG
LAL,Anthony Davis,C
LAL,Wenyen Gabriel,C
LAL,Rui Hachimura,PF
LAL,Shaquille Harrison,SG
LAL,LeBron James,PF
LAL,Damian Jones,C
LAL,Kendrick Nunn,SG
LAL,Scotty Pippen Jr.,PG
LAL,Austin Reaves,SG
LAL,Davon Reed,SG
LAL,D'Angelo Russell,PG
LAL,Matt Ryan,SF
LAL,Dennis Schroder,PG
LAL,Cole Swider,SF
LAL,Tristan Thompson,C
LAL,Juan Toscano-Anderson,SF
LAL,Jarred Vanderbilt,PF
LAL,Lonnie Walker IV,SG
LAL,Russell Westbrook,PG
MEM,Steven Adams,C
MEM,Santi Aldama,PF
MEM,Desmond Bane,SG
MEM,Dillon Brooks,SF
MEM,Kennedy Chandler,PG
MEM,Brandon Clarke,PF
MEM,Jacob Gilyard,PG
MEM,Danny Green,SG
MEM,Jaren Jackson Jr.,C
MEM,Tyus Jones,PG
MEM,Luke Kennard,SG
MEM,John Konchar,SF
MEM,Jake LaRavia,PF
MEM,Kenneth Lofton Jr.,PF
MEM,Ja Morant,PG
MEM,David Roddy,PF
MEM,Xavier Tillman Sr.,C
MEM,Vince Williams Jr.,SG
MEM,Ziaire Williams,SF
MIA,Bam Adebayo,C
MIA,Jamaree Bouyea,PG
MIA,Jimmy Butler,PF
MIA,Jamal Cain,PF
MIA,Dewayne Dedmon,C
MIA,Udonis Haslem,C
MIA,Tyler Herro,SG
MIA,Haywood Highsmith,PF
MIA,Nikola Jovic,PF
MIA,Kevin Love,PF
MIA,Kyle Lowry,PG
MIA,Caleb Martin,SF
MIA,Victor Oladipo,SG
MIA,Duncan Robinson,SF
MIA,Orlando Robinson,C
MIA,Dru Smith,SG
MIA,Max Strus,SF
MIA,Gabe Vincent,PG
MIA,Omer Yurtseven,C
MIA,Cody Zeller,C
MIL,Grayson Allen,SG
MIL,Giannis Antetokounmpo,PF
MIL,Thanasis Antetokounmpo,PF
MIL,MarJon Beauchamp,SF
MIL,Jevon Carter,PG
MIL,Pat Connaughton,SF
MIL,Jae Crowder,PF
MIL,Goran Dragic,PG
MIL,A.J. Green,SG
MIL,George Hill,PG
MIL,Jrue Holiday,PG
MIL,Serge Ibaka,C
MIL,Joe Ingles,SF
MIL,Meyers Leonard,C
MIL,Brook Lopez,C
MIL,Sandro Mamukelashvili,C
MIL,Wesley Matthews,SF
MIL,Khris Middleton,SF
MIL,Jordan Nwora,SF
MIL,Bobby Portis,PF
MIL,Lindell Wigginton,PG
MIN,Nickeil Alexander-Walker,SG
MIN,Kyle Anderson,PF
MIN,Mike Conley,PG
MIN,Anthony Edwards,SG
MIN,Bryn Forbes,SG
MIN,Luka Garza,C
MIN,Rudy Gobert,C
MIN,Nathan Knight,C
MIN,A.J. Lawson,SG
MIN,Jaden McDaniels,SF
MIN,Jordan McLaughlin,PG
MIN,Josh Minott,SF
MIN,Wendell Moore Jr.,SG
MIN,Jaylen Nowell,SG
MIN,Taurean Prince,PF
MIN,Naz Reid,C
MIN,Austin Rivers,SG
MIN,D'Angelo Russell,PG
MIN,Matt Ryan,SF
MIN,Karl-Anthony Towns,PF
NOP,Jose Alvarado,PG
NOP,Dyson Daniels,PG
NOP,Devonte' Graham,PG
NOP,Jaxson Hayes,C
NOP,Willy Hernangomez,C
NOP,Brandon Ingram,SF
NOP,Herbert Jones,PF
NOP,Kira Lewis Jr.,PG
NOP,Naji Marshall,SF
NOP,CJ McCollum,PG
NOP,Trey Murphy III,SF
NOP,Larry Nance Jr.,C
NOP,Josh Richardson,SG
NOP,Dereon Seabron,SG
NOP,Garrett Temple,SG
NOP,Jonas Valanciunas,C
NOP,Zion Williamson,PF
NYK,Ryan Arcidiacono,PG
NYK,RJ Barrett,SG
NYK,Jalen Brunson,PG
NYK,Evan Fournier,SG
NYK,Quentin Grimes,SG
NYK,Josh Hart,SF
NYK,Isaiah Hartenstein,C
NYK,DaQuan Jeffries,SG
NYK,Trevor Keels,SG
NYK,Miles McBride,PG
NYK,Svi Mykhailiuk,SF
NYK,Immanuel Quickley,SG
NYK,Julius Randle,PF
NYK,Cam Reddish,SF
NYK,Mitchell Robinson,C
NYK,Derrick Rose,PG
NYK,Jericho Sims,C
NYK,Obi Toppin,PF
OKC,Darius Bazley,C
OKC,Jared Butler,PG
OKC,Ousmane Dieng,PF
OKC,Luguentz Dort,SF
OKC,Josh Giddey,PF
OKC,Shai Gilgeous-Alexander,PG
OKC,Isaiah Joe,SG
OKC,Tre Mann,PG
OKC,Mike Muscala,C
OKC,Eugene Omoruyi,SF
OKC,Aleksej Pokusevski,PF
OKC,Jeremiah Robinson-Earl,PF
OKC,Dario Saric,C
OKC,Olivier Sarr,C
OKC,Lindy Waters III,SG
OKC,Aaron Wiggins,SG
OKC,Jalen Williams,SG
OKC,Jaylin Williams,C
OKC,Kenrich Williams,PF
ORL,Cole Anthony,PG
ORL,Mo Bamba,C
ORL,Paolo Banchero,PF
ORL,Goga Bitadze,C
ORL,Bol Bol,PF
ORL,Wendell Carter Jr.,C
ORL,Michael Carter-Williams,PG
ORL,Markelle Fultz,PG
ORL,R.J. Hampton,SG
ORL,Gary Harris,SG
ORL,Kevon Harris,SG
ORL,Caleb Houstan,SF
ORL,Jonathan Isaac,PF
ORL,Chuma Okeke,SF
ORL,Terrence Ross,SG
ORL,Admiral Schofield,PF
ORL,Jay Scrubb,SG
ORL,Jalen Suggs,SG
ORL,Franz Wagner,SF
ORL,Moritz Wagner,C
PHI,Julian Champagnie,SF
PHI,Dewayne Dedmon,C
PHI,Joel Embiid,C
PHI,Michael Foster Jr.,PF
PHI,James Harden,PG
PHI,Montrezl Harrell,C
PHI,Tobias Harris,SF
PHI,Danuel House Jr.,SF
PHI,Louis King,PF
PHI,Furkan Korkmaz,SG
PHI,Saben Lee,PG
PHI,Tyrese Maxey,SG
PHI,Mac McClung,SG
PHI,Jalen McDaniels,SF
PHI,De'Anthony Melton,SG
PHI,Shake Milton,SG
PHI,Georges Niang,PF
PHI,Paul Reed,C
PHI,Jaden Springer,SG
PHI,Matisse Thybulle,SF
PHI,P.J. Tucker,PF
PHO,Deandre Ayton,C
PHO,Darius Bazley,C
PHO,Bismack Biyombo,C
PHO,Devin Booker,SG
PHO,Mikal Bridges,SF
PHO,Torrey Craig,PF
PHO,Kevin Durant,PF
PHO,Cameron Johnson,PF
PHO,Jock Landale,C
PHO,Damion Lee,SG
PHO,Saben Lee,PG
PHO,Josh Okogie,SG
PHO,Chris Paul,PG
PHO,Cameron Payne,PG
PHO,Terrence Ross,SG
PHO,Dario Saric,PF
PHO,Landry Shamet,SG
PHO,Ish Wainright,SF
PHO,T.J. Warren,SF
PHO,Duane Washington Jr.,SG
POR,Ryan Arcidiacono,PG
POR,Greg Brown III,PF
POR,John Butler,C
POR,Chance Comanche,C
POR,Drew Eubanks,C
POR,Jerami Grant,PF
POR,Shaquille Harrison,SG
POR,Josh Hart,SF
POR,Keon Johnson,SG
POR,Kevin Knox,PF
POR,Damian Lillard,PG
POR,Nassir Little,SF
POR,Skylar Mays,PG
POR,Justin Minaya,SF
POR,Jusuf Nurkic,C
POR,Gary Payton II,SG
POR,Cam Reddish,SF
POR,Shaedon Sharpe,SG
POR,Anfernee Simons,SG
POR,Matisse Thybulle,SG
POR,Jabari Walker,PF
POR,Trendon Watford,PF
POR,Jeenathan Williams,SG
POR,Justise Winslow,PF
SAC,Harrison Barnes,PF
SAC,Deonte Burton,PF
SAC,Terence Davis,SG
SAC,Matthew Dellavedova,PG
SAC,PJ Dozier,SF
SAC,Kessler Edwards,SF
SAC,Keon Ellis,SG
SAC,De'Aaron Fox,PG
SAC,Richaun Holmes,C
SAC,Kevin Huerter,SG
SAC,Alex Len,C
SAC,Trey Lyles,PF
SAC,Chimezie Metu,PF
SAC,Davion Mitchell,PG
SAC,Chima Moneke,SF
SAC,Malik Monk,SG
SAC,Keegan Murray,SF
SAC,KZ Okpala,PF
SAC,Neemias Queta,C
SAC,Domantas Sabonis,C
SAS,Dominick Barlow,PF
SAS,Charles Bassey,C
SAS,Keita Bates-Diop,PF
SAS,Malaki Branham,SG
SAS,Julian Champagnie,SF
SAS,Zach Collins,C
SAS,Gorgui Dieng,C
SAS,Devonte' Graham,PG
SAS,Jordan Hall,SF
SAS,Alize Johnson,PF
SAS,Keldon Johnson,SF
SAS,Stanley Johnson,SF
SAS,Tre Jones,PG
SAS,Romeo Langford,SG
SAS,Sandro Mamukelashvili,C
SAS,Doug McDermott,SF
SAS,Jakob Poeltl,C
SAS,Joshua Primo,SG
SAS,Josh Richardson,SG
SAS,Isaiah Roby,PF
SAS,Jeremy Sochan,PF
SAS,Devin Vassell,SG
SAS,Blake Wesley,SG
TOR,Precious Achiuwa,C
TOR,OG Anunoby,SF
TOR,Dalano Banton,PG
TOR,Scottie Barnes,SF
TOR,Will Barton,SG
TOR,Khem Birch,C
TOR,Chris Boucher,PF
TOR,Justin Champagnie,SF
TOR,Jeff Dowtin Jr.,PG
TOR,Malachi Flynn,PG
TOR,Ron Harper Jr.,PF
TOR,Juancho Hernangomez,PF
TOR,Christian Koloko,C
TOR,Jakob Poeltl,C
TOR,Otto Porter Jr.,SF
TOR,Pascal Siakam,PF
TOR,Gary Trent Jr.,SG
TOR,Fred VanVleet,PG
TOR,Joe Wieskamp,SF
TOR,Thaddeus Young,PF
UTA,Ochai Agbaji,SG
UTA,Nickeil Alexander-Walker,SG
UTA,Udoka Azubuike,C
UTA,Malik Beasley,SG
UTA,Leandro Bolmaro,SF
UTA,Jarrell Brantley,PF
UTA,Jordan Clarkson,SG
UTA,Mike Conley,PG
UTA,Kris Dunn,PG
UTA,Simone Fontecchio,SF
UTA,Rudy Gay,PF
UTA,Talen Horton-Tucker,SG
UTA,Frank Jackson,PG
UTA,Damian Jones,C
UTA,Johnny Juzang,SG
UTA,Walker Kessler,C
UTA,Lauri Markkanen,PF
UTA,Kelly Olynyk,C
UTA,Micah Potter,PF
UTA,Luka Samanic,PF
UTA,Collin Sexton,PG
UTA,Juan Toscano-Anderson,SF
UTA,Jarred Vanderbilt,PF
WAS,Deni Avdija,SF
WAS,Will Barton,SG
WAS,Bradley Beal,SG
WAS,Jamaree Bouyea,PG
WAS,Vernon Carey Jr.,C
WAS,Xavier Cooks,PF
WAS,Johnny Davis,SG
WAS,Devon Dotson,PG
WAS,Daniel Gafford,C
WAS,Taj Gibson,C
WAS,Anthony Gill,PF
WAS,Jordan Goodwin,PG
WAS,Rui Hachimura,PF
WAS,Jay Huff,C
WAS,Quenton Jackson,PG
WAS,Corey Kispert,SF
WAS,Kyle Kuzma,PF
WAS,Monte Morris,PG
WAS,Kendrick Nunn,SG
WAS,Kristaps Porzingis,C
WAS,Jordan Schakel,SF
WAS,Isaiah Todd,PF
WAS,Delon Wright,PG
