Team,Player,Pos
CHO,JT Thor,PF
CHO,P.J. Washington,C
CHI,Lonzo Ball,PG
CHI,Jordan Bell,C
CHI,Tony Bradley,C
CHI,Troy Brown Jr.,SF
CHI,Alex Caruso,SG
CHI,Tyler Cook,PF
CHI,DeMar DeRozan,PF
CHI,Ayo Dosunmu,SG
CHI,Devon Dotson,PG
CHI,Javonte Green,SF
CHI,Malcolm Hill,SF
CHI,Alize Johnson,PF
CHI,Derrick Jones Jr.,PF
CHI,Zach LaVine,SG
CHI,Mac McClung,PG
CHI,Alfonzo McKinnie,SF
CHI,Marko Simonovic,C
CHI,Matt Thomas,SG
CHI,Tristan Thompson,C
CHI,Nikola Vucevic,C
CHI,Coby White,PG
CHI,Patrick Williams,PF
CLE,Jarrett Allen,C
CLE,Justin Anderson,SF
CLE,Moses Brown,C
CLE,Ed Davis,C
CLE,Tacko Fall,C
CLE,Tim Frazier,PG
CLE,Darius Garland,PG
CLE,Brandon Goodwin,PG
CLE,Luke Kornet,C
CLE,Caris LeVert,SG
CLE,Kevin Love,C
CLE,Lauri Markkanen,SF
CLE,Evan Mobley,PF
CLE,RJ Nembhard Jr.,SG
CLE,Malik Newman,PG
CLE,Isaac Okoro,SF
CLE,Cedi Osman,SF
CLE,Kevin Pangos,PG
CLE,Rajon Rondo,PG
CLE,Ricky Rubio,PG
CLE,Tre Scott,SF
CLE,Collin Sexton,SG
CLE,Lamar Stevens,PF
CLE,Denzel Valentine,SG
CLE,Dean Wade,PF
CLE,Dylan Windler,SF
DAL,Davis Bertans,PF
DAL,Charlie Brown Jr.,SG
DAL,Moses Brown,C
DAL,Sterling Brown,SG
DAL,Jalen Brunson,SG
DAL,Reggie Bullock,SF
DAL,Trey Burke,PG
DAL,Willie Cauley-Stein,C
DAL,Marquese Chriss,PF
DAL,Spencer Dinwiddie,PG
DAL,Luka Doncic,PG
DAL,Dorian Finney-Smith,PF
DAL,Josh Green,SG
DAL,Tim Hardaway Jr.,SG
DAL,Carlik Jones,PG
DAL,George King,SF
DAL,Maxi Kleber,PF
DAL,Brandon Knight,PG
DAL,Boban Marjanovic,C
DAL,JaQuori McLaughlin,PG
DAL,Frank Ntilikina,SG
DAL,Eugene Omoruyi,SF
DAL,Theo Pinson,SF
DAL,Kristaps Porzingis,PF
DAL,Dwight Powell,C
DAL,Isaiah Thomas,PG
DAL,Moses Wright,PF
DEN,Will Barton,SG
DEN,Bol Bol,PF
DEN,Facundo Campazzo,PG
DEN,Vlatko Cancar,PF
DEN,Petr Cornelie,PF
DEN,DeMarcus Cousins,C
DEN,PJ Dozier,SG
DEN,James Ennis III,SF
DEN,Bryn Forbes,SG
DEN,Aaron Gordon,PF
DEN,JaMychal Green,PF
DEN,Jeff Green,PF
DEN,Markus Howard,SG
DEN,Bones Hyland,SG
DEN,Nikola Jokic,C
DEN,Carlik Jones,PG
DEN,Monte Morris,PG
DEN,Zeke Nnaji,PF
DEN,Michael Porter Jr.,SF
DEN,Davon Reed,SG
DEN,Austin Rivers,SG
DEN,Rayjon Tucker,SG
DET,Marvin Bagley III,PF
DET,Saddiq Bey,SF
DET,Cade Cunningham,SG
DET,Cheick Diallo,C
DET,Hamidou Diallo,SG
DET,Carsen Edwards,SG
DET,Luka Garza,C
DET,Jerami Grant,PF
DET,Killian Hayes,PG
DET,Frank Jackson,PG
DET,Josh Jackson,SF
DET,Cory Joseph,PG
DET,Braxton Key,SF
DET,Saben Lee,PG
DET,Isaiah Livers,SF
DET,Trey Lyles,PF
DET,Rodney McGruder,SG
DET,Kelly Olynyk,C
DET,Jaysean Paige,PG
DET,Trayvon Palmer,SG
DET,Jamorko Pickett,PF
DET,Micah Potter,C
DET,Justin Robinson,PG
DET,Deividas Sirvydis,SG
DET,Cassius Stanley,SG
DET,Isaiah Stewart,C
DET,Derrick Walton,PG
GSW,Nemanja Bjelica,C
GSW,Chris Chiozza,PG
GSW,Stephen Curry,PG
GSW,Jeff Dowtin Jr.,PG
GSW,Draymond Green,PF
GSW,Andre Iguodala,SF
GSW,Jonathan Kuminga,SF
GSW,Damion Lee,SG
GSW,Kevon Looney,C
GSW,Moses Moody,SG
GSW,Gary Payton II,SG
GSW,Jordan Poole,SG
GSW,Otto Porter Jr.,PF
GSW,Klay Thompson,SG
GSW,Juan Toscano-Anderson,SF
GSW,Quinndary Weatherspoon,SG
GSW,Andrew Wiggins,SF
HOU,D.J. Augustin,PG
HOU,Armoni Brooks,SG
HOU,Josh Christopher,SG
HOU,Bruno Fernando,C
HOU,Usman Garuba,PF
HOU,Eric Gordon,SG
HOU,Jalen Green,SG
HOU,Danuel House Jr.,SF
HOU,KJ Martin,SF
HOU,Garrison Mathews,SG
HOU,Daishen Nix,SG
HOU,David Nwaba,SF
HOU,Kevin Porter Jr.,PG
HOU,Trevelin Queen,SG
HOU,Dennis Schroder,PG
HOU,Alperen Sengun,C
HOU,Jae'Sean Tate,PF
HOU,Daniel Theis,C
HOU,Christian Wood,C
IND,Justin Anderson,SF
IND,Goga Bitadze,C
IND,Oshae Brissett,SF
IND,Malcolm Brogdon,PG
IND,Ahmad Caver,SG
IND,Torrey Craig,SF
IND,Chris Duarte,SG
IND,Tyrese Haliburton,PG
IND,Buddy Hield,SG
IND,Nate Hinton,SG
IND,Justin Holiday,SF
IND,Isaiah Jackson,C
IND,DeJon Jarreau,SG
IND,Jeremy Lamb,SF
IND,Caris LeVert,SG
IND,Kelan Martin,SF
IND,T.J. McConnell,PG
IND,Reggie Perry,PF
IND,Domantas Sabonis,PF
IND,Jalen Smith,PF
IND,Lance Stephenson,PG
IND,Keifer Sykes,PG
IND,Terry Taylor,PF
IND,Tristan Thompson,C
IND,Myles Turner,C
IND,Brad Wanamaker,PG
IND,Duane Washington Jr.,PG
IND,Gabe York,SG
LAC,Nicolas Batum,PF
LAC,Eric Bledsoe,PG
LAC,Brandon Boston Jr.,SG
LAC,Amir Coffey,SG
LAC,Robert Covington,PF
LAC,James Ennis III,SF
LAC,Wenyen Gabriel,PF
LAC,Paul George,PF
LAC,Isaiah Hartenstein,C
LAC,Rodney Hood,SF
LAC,Serge Ibaka,C
LAC,Reggie Jackson,SG
LAC,Keon Johnson,SG
LAC,Luke Kennard,SG
LAC,Terance Mann,SF
LAC,Xavier Moon,SG
LAC,Marcus Morris,PF
LAC,Semi Ojeleye,PF
LAC,Norman Powell,SG
LAC,Jay Scrubb,SG
LAC,Justise Winslow,PF
LAC,Moses Wright,PF
LAC,Ivica Zubac,C
LAL,Carmelo Anthony,PF
LAL,Trevor Ariza,SF
LAL,D.J. Augustin,PG
LAL,Kent Bazemore,SF
LAL,Avery Bradley,SG
LAL,Chaundee Brown Jr.,SF
LAL,Darren Collison,PG
LAL,Anthony Davis,C
LAL,Sekou Doumbouya,PF
LAL,Wayne Ellington,SG
LAL,Wenyen Gabriel,PF
LAL,Talen Horton-Tucker,SG
LAL,Dwight Howard,C
LAL,Jay Huff,C
LAL,LeBron James,C
LAL,Stanley Johnson,PF
LAL,Jemerrio Jones,SF
LAL,Mason Jones,SG
LAL,DeAndre Jordan,C
LAL,Mac McClung,SG
LAL,Malik Monk,SG
LAL,Austin Reaves,SG
LAL,Rajon Rondo,PG
LAL,Isaiah Thomas,PG
LAL,Russell Westbrook,PG
MEM,Steven Adams,C
MEM,Santi Aldama,PF
MEM,Kyle Anderson,PF
MEM,Desmond Bane,SG
MEM,Dillon Brooks,SF
MEM,Shaq Buchanan,SG
MEM,Brandon Clarke,PF
MEM,Jarrett Culver,SG
MEM,Jaren Jackson Jr.,PF
MEM,DaQuan Jeffries,SG
MEM,Tyus Jones,PG
MEM,John Konchar,SG
MEM,Dakota Mathias,SG
MEM,De'Anthony Melton,SG
MEM,Sam Merrill,SG
MEM,Ja Morant,PG
MEM,Yves Pons,SF
MEM,Xavier Sneed,SF
MEM,Tyrell Terry,PG
MEM,Jon Teske,C
MEM,Killian Tillie,C
MEM,Xavier Tillman Sr.,PF
MEM,Ziaire Williams,SF
MIA,Bam Adebayo,C
MIA,Jimmy Butler,SF
MIA,Dewayne Dedmon,C
MIA,Marcus Garrett,SG
MIA,Kyle Guy,SG
MIA,Udonis Haslem,C
MIA,Tyler Herro,SG
MIA,Haywood Highsmith,SF
MIA,Kyle Lowry,PG
MIA,Caleb Martin,SF
MIA,Markieff Morris,PF
MIA,Mychal Mulder,PG
MIA,KZ Okpala,PF
MIA,Victor Oladipo,SG
MIA,Duncan Robinson,SG
MIA,Chris Silva,PF
MIA,Javonte Smart,PG
MIA,Nik Stauskas,SG
MIA,Max Strus,SF
MIA,P.J. Tucker,PF
MIA,Gabe Vincent,PG
MIA,Omer Yurtseven,C
MIL,Grayson Allen,SG
MIL,Giannis Antetokounmpo,PF
MIL,Thanasis Antetokounmpo,SF
MIL,DeAndre' Bembry,SF
MIL,Jevon Carter,PG
MIL,Pat Connaughton,SF
MIL,DeMarcus Cousins,C
MIL,Javin DeLaurier,C
MIL,Donte DiVincenzo,SG
MIL,Jeff Dowtin Jr.,PG
MIL,Langston Galloway,SG
MIL,George Hill,PG
MIL,Jrue Holiday,PG
MIL,Rodney Hood,PF
MIL,Serge Ibaka,C
MIL,Georgios Kalaitzakis,SF
MIL,Luke Kornet,C
MIL,Brook Lopez,C
MIL,Sandro Mamukelashvili,PF
MIL,Wesley Matthews,SG
MIL,Khris Middleton,SF
MIL,Greg Monroe,C
MIL,Jordan Nwora,SF
MIL,Semi Ojeleye,PF
MIL,Bobby Portis,C
MIL,Justin Robinson,PG
MIL,Javonte Smart,PG
MIL,Rayjon Tucker,SG
MIL,Luca Vildoza,PG
MIL,Lindell Wigginton,PG
MIN,Malik Beasley,SG
MIN,Patrick Beverley,PG
MIN,Leandro Bolmaro,SF
MIN,Anthony Edwards,SG
MIN,Nathan Knight,PF
MIN,Jake Layman,SF
MIN,Jaden McDaniels,PF
MIN,Jordan McLaughlin,PG
MIN,Greg Monroe,C
MIN,Jaylen Nowell,SG
MIN,Josh Okogie,SG
MIN,Taurean Prince,PF
MIN,Naz Reid,C
MIN,D'Angelo Russell,PG
MIN,Chris Silva,PF
MIN,Karl-Anthony Towns,C
MIN,Jarred Vanderbilt,PF
MIN,McKinley Wright IV,PG
NOP,Nickeil Alexander-Walker,SG
NOP,Jose Alvarado,PG
NOP,Gary Clark,PF
NOP,Devonte' Graham,PG
NOP,Jared Harper,PG
NOP,Josh Hart,SG
NOP,Jaxson Hayes,C
NOP,Willy Hernangomez,C
NOP,Brandon Ingram,SF
NOP,Alize Johnson,PF
NOP,Herbert Jones,PF
NOP,Kira Lewis Jr.,PG
NOP,Didi Louzada,SF
NOP,Naji Marshall,SF
NOP,CJ McCollum,PG
NOP,Trey Murphy III,SF
NOP,Larry Nance Jr.,PF
NOP,Tomas Satoransky,SG
NOP,Tony Snell,SG
NOP,Garrett Temple,SG
NOP,Jonas Valanciunas,C
NOP,Tyrone Wallace,SG
NYK,Ryan Arcidiacono,PG
NYK,RJ Barrett,SF
NYK,Alec Burks,SG
NYK,Damyean Dotson,SG
NYK,Evan Fournier,SG
NYK,Taj Gibson,C
NYK,Quentin Grimes,SG
NYK,Tyler Hall,SG
NYK,Danuel House Jr.,SF
NYK,Feron Hunt,SF
NYK,Kevin Knox,SF
NYK,Miles McBride,PG
NYK,Matt Mooney,SG
NYK,Nerlens Noel,C
NYK,Immanuel Quickley,PG
NYK,Julius Randle,PF
NYK,Cam Reddish,SF
NYK,Mitchell Robinson,C
NYK,Derrick Rose,PG
NYK,Wayne Selden,SG
NYK,Jericho Sims,PF
NYK,Obi Toppin,PF
NYK,Kemba Walker,PG
OKC,Darius Bazley,PF
OKC,Gabriel Deck,PF
OKC,Mamadi Diakite,PF
OKC,Luguentz Dort,SG
OKC,Rob Edwards,SG
OKC,Derrick Favors,C
OKC,Melvin Frazier,SG
OKC,Josh Giddey,SF
OKC,Shai Gilgeous-Alexander,PG
OKC,Jaylen Hoard,SF
OKC,Scotty Hopson,SG
OKC,Ty Jerome,SG
OKC,Georgios Kalaitzakis,SF
OKC,Vit Krejci,SG
OKC,Theo Maledon,PG
OKC,Tre Mann,PG
OKC,Mike Muscala,C
OKC,Aleksej Pokusevski,PF
OKC,Jeremiah Robinson-Earl,C
OKC,Isaiah Roby,PF
OKC,Olivier Sarr,C
OKC,Zavier Simpson,PG
OKC,Lindy Waters III,SG
OKC,Paul Watson,SF
OKC,Aaron Wiggins,SG
OKC,Kenrich Williams,SF
ORL,Cole Anthony,PG
ORL,Mo Bamba,C
ORL,Ignas Brazdeikis,SF
ORL,Devin Cannady,PG
ORL,Wendell Carter Jr.,PF
ORL,Jeff Dowtin Jr.,PG
ORL,Aleem Ford,SF
ORL,Tim Frazier,PG
ORL,Markelle Fultz,PG
ORL,Freddie Gillespie,PF
ORL,Hassani Gravett,PG
ORL,R.J. Hampton,SG
ORL,Gary Harris,SG
ORL,B.J. Johnson,SF
ORL,Robin Lopez,C
ORL,Mychal Mulder,PG
ORL,Chuma Okeke,PF
ORL,Terrence Ross,SG
ORL,Admiral Schofield,SF
ORL,Jalen Suggs,PG
ORL,Franz Wagner,SF
ORL,Moritz Wagner,C
PHI,Charles Bassey,C
PHI,Charlie Brown Jr.,SG
PHI,Willie Cauley-Stein,C
PHI,Seth Curry,SG
PHI,Andre Drummond,C
PHI,Joel Embiid,C
PHI,Danny Green,SF
PHI,James Harden,PG
PHI,Tobias Harris,PF
PHI,Aaron Henry,SF
PHI,Isaiah Joe,SG
PHI,Tyler Johnson,PG
PHI,DeAndre Jordan,C
PHI,Braxton Key,SF
PHI,Furkan Korkmaz,SG
PHI,Tyrese Maxey,PG
PHI,Paul Millsap,C
PHI,Shake Milton,SG
PHI,Georges Niang,PF
PHI,Myles Powell,PG
PHI,Paul Reed,C
PHI,Jaden Springer,SG
PHI,Matisse Thybulle,SG
PHO,Deandre Ayton,C
PHO,Paris Bass,SF
PHO,Bismack Biyombo,C
PHO,Devin Booker,SG
PHO,Mikal Bridges,SF
PHO,Torrey Craig,SF
PHO,Jae Crowder,PF
PHO,Aaron Holiday,PG
PHO,Chandler Hutchison,SF
PHO,Justin Jackson,SF
PHO,Cameron Johnson,PF
PHO,Frank Kaminsky,C
PHO,Gabriel Lundberg,SG
PHO,JaVale McGee,C
PHO,Abdel Nader,SF
PHO,Chris Paul,PG
PHO,Cameron Payne,PG
PHO,Elfrid Payton,PG
PHO,Landry Shamet,SG
PHO,Jalen Smith,PF
PHO,Emanuel Terry,PF
PHO,Ish Wainright,PF
PHO,M.J. Walker,SG
POR,Keljin Blevins,SF
POR,Greg Brown III,SF
POR,Robert Covington,PF
POR,Jarron Cumberland,SG
POR,Kris Dunn,PG
POR,CJ Elleby,SF
POR,Drew Eubanks,C
POR,Josh Hart,SG
POR,Elijah Hughes,SG
POR,Keon Johnson,SG
POR,Damian Lillard,PG
POR,Nassir Little,SF
POR,Didi Louzada,SG
POR,CJ McCollum,SG
POR,Cameron McGriff,SF
POR,Ben McLemore,SG
POR,Larry Nance Jr.,C
POR,Jusuf Nurkic,C
POR,Reggie Perry,PF
POR,Norman Powell,SF
POR,Anfernee Simons,SG
POR,Dennis Smith Jr.,PG
POR,Tony Snell,SG
POR,Trendon Watford,SF
POR,Brandon Williams,PG
POR,Justise Winslow,PF
POR,Cody Zeller,C
SAC,Marvin Bagley III,PF
SAC,Harrison Barnes,PF
SAC,Terence Davis,SG
SAC,Donte DiVincenzo,SG
SAC,De'Aaron Fox,PG
SAC,Tyrese Haliburton,SG
SAC,Maurice Harkless,SF
SAC,Buddy Hield,SG
SAC,Justin Holiday,SG
SAC,Richaun Holmes,C
SAC,Josh Jackson,SF
SAC,Damian Jones,C
SAC,Louis King,SF
SAC,Jeremy Lamb,SG
SAC,Alex Len,C
SAC,Trey Lyles,PF
SAC,Chimezie Metu,C
SAC,Davion Mitchell,PG
SAC,Emmanuel Mudiay,PG
SAC,Ade Murkey,SG
SAC,Neemias Queta,C
SAC,Jahmi'us Ramsey,SG
SAC,Justin Robinson,PG
SAC,Domantas Sabonis,PF
SAC,Tristan Thompson,C
SAC,Robert Woodard II,SF
SAS,Keita Bates-Diop,SF
SAS,Devontae Cacok,PF
SAS,Zach Collins,C
SAS,Drew Eubanks,C
SAS,Bryn Forbes,SG
SAS,Juancho Hernangomez,PF
SAS,Keldon Johnson,SF
SAS,Tyler Johnson,PG
SAS,Tre Jones,PG
SAS,Anthony Lamb,SF
SAS,Jock Landale,C
SAS,Romeo Langford,SG
SAS,Doug McDermott,PF
SAS,Jaylen Morris,SG
SAS,Dejounte Murray,PG
SAS,Jakob Poeltl,C
SAS,Joshua Primo,SF
SAS,Josh Richardson,SG
SAS,Tomas Satoransky,SF
SAS,Devin Vassell,SF
SAS,Lonnie Walker IV,SG
SAS,Derrick White,SG
SAS,Joe Wieskamp,SG
SAS,Thaddeus Young,PF
TOR,Precious Achiuwa,C
TOR,OG Anunoby,SF
TOR,Dalano Banton,PG
TOR,Scottie Barnes,PF
TOR,Khem Birch,C
TOR,Isaac Bonga,SF
TOR,Chris Boucher,SF
TOR,Armoni Brooks,PG
TOR,Justin Champagnie,SF
TOR,Sam Dekker,PF
TOR,Goran Dragic,PG
TOR,Malachi Flynn,PG
TOR,David Johnson,SG
TOR,Juwan Morgan,PF
TOR,Svi Mykhailiuk,SF
TOR,Daniel Oturu,C
TOR,Pascal Siakam,PF
TOR,Gary Trent Jr.,SG
TOR,Fred VanVleet,PG
TOR,Yuta Watanabe,SF
TOR,Tremont Waters,PG
TOR,D.J. Wilson,PF
TOR,Thaddeus Young,PF
UTA,Nickeil Alexander-Walker,SG
UTA,Udoka Azubuike,C
UTA,Bojan Bogdanovic,PF
UTA,Jared Butler,SG
UTA,Zylan Cheatham,SF
UTA,Jordan Clarkson,SG
UTA,Mike Conley,PG
UTA,Malik Fitts,PF
UTA,Trent Forrest,PG
UTA,Rudy Gay,PF
UTA,Rudy Gobert,C
UTA,Juancho Hernangomez,PF
UTA,Danuel House Jr.,SF
UTA,Elijah Hughes,SF
UTA,Joe Ingles,SF
UTA,Donovan Mitchell,SG
UTA,Greg Monroe,C
UTA,Royce O'Neale,SF
UTA,Miye Oni,SG
UTA,Eric Paschall,PF
UTA,Norvel Pelle,C
UTA,Xavier Sneed,SF
UTA,Denzel Valentine,SG
UTA,Hassan Whiteside,C
WAS,Deni Avdija,SF
WAS,Joel Ayayi,SG
WAS,Bradley Beal,SG
WAS,Davis Bertans,PF
WAS,Thomas Bryant,C
WAS,Kentavious Caldwell-Pope,SG
WAS,Vernon Carey Jr.,C
WAS,Spencer Dinwiddie,PG
WAS,Jaime Echenique,C
WAS,Daniel Gafford,C
WAS,Anthony Gill,PF
WAS,Jordan Goodwin,SG
WAS,Rui Hachimura,PF
WAS,Montrezl Harrell,C
WAS,Aaron Holiday,PG
WAS,Alize Johnson,PF
WAS,Corey Kispert,SF
WAS,Kyle Kuzma,PF
WAS,Greg Monroe,C
WAS,Raul Neto,PG
WAS,Kristaps Porzingis,PF
WAS,Tomas Satoransky,PG
WAS,Jordan Schakel,SG
WAS,Ish Smith,PG
WAS,Craig Sword,SG
WAS,Isaiah Todd,PF
WAS,Brad Wanamaker,PG
WAS,Tremont Waters,PG
WAS,Cassius Winston,PG
